Codi,Barris,Any,Preu_m2
53,la Trinitat Nova  ,2021,11.62
53,la Trinitat Nova  ,2022,12.84
53,la Trinitat Nova  ,2023,13.52
53,la Trinitat Nova  ,2024,14.23
53,la Trinitat Nova  ,2025,12.45
54,Torre Baró  ,2014,5.92
54,Torre Baró  ,2015,6.06
54,Torre Baró  ,2016,7.39
54,Torre Baró  ,2017,6.78
54,Torre Baró  ,2018,8.24
54,Torre Baró  ,2019,7.46
54,Torre Baró  ,2020,8.76
54,Torre Baró  ,2021,8.84
54,Torre Baró  ,2022,10.39
54,Torre Baró  ,2023,7.71
54,Torre Baró  ,2024,5.72
54,Torre Baró  ,2025,10.35
55,Ciutat Meridiana  ,2014,6.38
55,Ciutat Meridiana  ,2015,6.62
55,Ciutat Meridiana  ,2016,6.97
55,Ciutat Meridiana  ,2017,7.59
55,Ciutat Meridiana  ,2018,8.72
55,Ciutat Meridiana  ,2019,9.65
55,Ciutat Meridiana  ,2020,9.25
55,Ciutat Meridiana  ,2021,8.93
55,Ciutat Meridiana  ,2022,9.70
55,Ciutat Meridiana  ,2023,10.39
55,Ciutat Meridiana  ,2024,10.73
55,Ciutat Meridiana  ,2025,10.20
